ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
MSFT,2022-12-27,2023-01-17,504.2496,604.797,62.2762,6192.64,19.7,take_profit
COIN,2023-01-16,2023-01-17,40.5372,38.0859,798.2882,-2019.59,-6.23,stop_loss
ARM,2023-01-16,2023-01-19,99.2779,93.2746,356.3201,-2207.72,-6.23,stop_loss
GOOGL,2022-12-21,2023-01-31,150.8528,164.0977,214.3203,2771.16,8.56,signal_exit
MSTR,2023-01-23,2023-01-31,103.749,97.4753,301.3762,-1951.39,-6.23,stop_loss
TSLA,2023-01-18,2023-02-01,189.2454,177.8017,184.5225,-2179.34,-6.23,stop_loss
MRVL,2023-01-31,2023-02-02,47.9106,45.0135,718.8531,-2149.43,-6.23,stop_loss
META,2023-01-23,2023-02-03,853.7487,802.1225,40.8945,-2178.95,-6.23,stop_loss
BIIB,2023-01-16,2023-02-09,211.4316,198.6464,167.3104,-2207.72,-6.23,stop_loss
ARM,2023-02-03,2023-02-09,117.2588,110.1681,279.9811,-2048.92,-6.23,stop_loss
SMCI,2023-02-07,2023-02-13,481.9702,452.8255,67.2034,-2021.45,-6.23,stop_loss
MRNA,2023-02-08,2023-02-14,119.6906,112.4529,272.1848,-2033.18,-6.23,stop_loss
MSTR,2023-02-16,2023-02-21,126.034,118.4127,247.8875,-1949.82,-6.23,stop_loss
SMCI,2023-02-16,2023-02-27,564.4472,676.998,55.3502,6160.99,19.7,take_profit
SMCI,2023-02-27,2023-03-10,760.5062,912.1511,42.9004,6433.87,19.7,take_profit
MRVL,2023-02-21,2023-03-13,50.5728,47.5147,579.2517,-1828.25,-6.23,stop_loss
SMCI,2023-03-10,2023-03-14,942.0284,1129.8688,35.2897,6555.71,19.7,take_profit
GOOGL,2023-02-10,2023-03-15,181.2895,173.4768,174.7477,-1427.25,-4.5,signal_exit
QQQ,2023-02-16,2023-03-15,425.5736,426.6346,73.4121,15.33,0.05,signal_exit
AMD,2023-03-14,2023-03-17,186.5374,175.2575,183.4226,-2135.35,-6.23,stop_loss
COIN,2023-03-20,2023-03-28,30.7249,28.867,1083.8001,-2078.22,-6.23,stop_loss
XLY,2023-03-15,2023-03-31,202.0752,189.8557,168.6081,-2126.39,-6.23,stop_loss
ARKK,2023-03-13,2023-04-03,82.1931,77.2229,409.602,-2101.11,-6.23,stop_loss
AAPL,2023-02-17,2023-04-07,149.7403,157.3024,196.4384,1425.17,4.84,signal_exit
MRNA,2023-03-31,2023-04-12,104.6111,125.4706,309.9019,6393.08,19.7,take_profit
MRNA,2023-04-12,2023-04-17,129.3875,121.5634,275.6786,-2226.11,-6.23,stop_loss
META,2023-03-16,2023-04-18,983.9755,1180.1802,34.0408,6605.3,19.7,take_profit
GOOGL,2023-04-11,2023-04-19,204.8006,192.4163,150.5781,-1924.62,-6.23,stop_loss
ARM,2023-04-17,2023-04-21,187.5813,176.2382,181.1274,-2120.43,-6.23,stop_loss
NVDA,2023-04-03,2023-05-09,283.3742,339.879,111.3985,6225.12,19.7,take_profit
AMZN,2023-03-28,2023-05-17,106.4766,114.3633,314.0482,2407.44,7.19,signal_exit
META,2023-04-18,2023-05-19,1183.1339,1281.8469,29.3088,2820.92,8.13,signal_exit
TSLA,2023-04-20,2023-05-19,174.922,164.3445,195.8946,-2138.54,-6.23,stop_loss
AAPL,2023-04-21,2023-05-19,177.2093,180.1398,194.3046,499.97,1.45,signal_exit
QQQ,2023-05-17,2023-05-30,447.6035,420.5369,82.3015,-2299.07,-6.23,stop_loss
GOOGL,2023-05-19,2023-06-02,215.9017,202.8629,168.9889,-2274.17,-6.23,signal_exit
PLTR,2023-05-19,2023-06-13,2.4784,2.3621,14721.0155,-1783.5,-4.88,signal_exit
META,2023-05-30,2023-06-14,1445.486,1379.6317,23.8962,-1641.18,-4.75,signal_exit
SMCI,2023-06-08,2023-06-14,1977.5901,1858.0052,17.3004,-2135.22,-6.23,stop_loss
MSTR,2023-06-14,2023-06-15,105.581,99.1966,325.4789,-2144.67,-6.23,stop_loss
NVDA,2023-05-09,2023-06-16,349.0587,336.9719,105.1311,-1342.83,-3.66,signal_exit
COIN,2023-06-16,2023-06-26,20.2007,24.2287,1633.5944,6507.58,19.7,take_profit
SMCI,2023-06-19,2023-06-30,2421.8767,2904.7989,13.6404,6514.62,19.7,take_profit
COIN,2023-06-26,2023-07-06,24.4006,22.9251,1383.9618,-2107.54,-6.23,stop_loss
QQQ,2023-06-30,2023-07-10,424.3506,398.6902,84.2405,-2230.98,-6.23,stop_loss
ARM,2023-07-06,2023-07-13,191.8527,180.2513,184.1785,-2205.25,-6.23,stop_loss
COIN,2023-07-14,2023-07-27,27.0656,32.4625,1290.5435,6888.09,19.7,take_profit
MSTR,2023-07-27,2023-07-28,227.283,213.5392,165.089,-2341.73,-6.23,stop_loss
AMD,2023-06-19,2023-08-08,157.1269,153.3689,210.2471,-855.39,-2.59,signal_exit
MSFT,2023-05-23,2023-08-09,759.5103,760.926,41.8421,-4.38,-0.01,signal_exit
XLK,2023-06-16,2023-08-23,310.1316,334.4123,106.4057,2515.02,7.61,signal_exit
SOXX,2023-07-31,2023-08-28,792.3018,840.329,47.1221,2186.21,5.85,signal_exit
COIN,2023-08-14,2023-08-30,36.7901,44.1261,878.9856,6377.07,19.7,take_profit
ARKK,2023-08-30,2023-09-01,74.0078,69.5325,525.4815,-2427.09,-6.23,stop_loss
XLY,2023-07-11,2023-09-04,227.5771,248.5601,154.0417,3158.92,9.0,signal_exit
GOOGL,2023-08-29,2023-09-04,202.0804,189.8606,194.6644,-2455.06,-6.23,stop_loss
ARM,2023-08-11,2023-09-05,229.6557,244.0947,161.5621,2256.26,6.07,signal_exit
COIN,2023-09-04,2023-09-06,47.2759,56.7027,819.6372,7641.34,19.7,take_profit
SMCI,2023-09-01,2023-09-07,3159.1875,3789.1294,11.5425,7190.93,19.7,take_profit
SMCI,2023-09-07,2023-09-08,3964.4157,3724.6875,10.4948,-2596.59,-6.23,stop_loss
TSLA,2023-09-04,2023-09-15,214.7113,257.5248,169.2893,7167.91,19.7,take_profit
SOXX,2023-09-06,2023-09-20,905.936,855.3249,45.0924,-2361.59,-5.78,signal_exit
ARKK,2023-09-06,2023-09-26,75.7827,75.9456,539.0516,6.01,0.01,signal_exit
META,2023-09-26,2023-09-27,1026.1026,964.0542,39.555,-2533.05,-6.23,stop_loss
NVDA,2023-09-19,2023-09-28,383.3125,459.7451,111.924,8460.28,19.7,take_profit
NVDA,2023-09-28,2023-09-29,476.5351,447.719,89.673,-2666.91,-6.23,stop_loss
QQQ,2023-08-23,2023-10-03,439.8521,469.6639,80.7369,2333.49,6.56,signal_exit
ARM,2023-09-26,2023-10-04,288.8997,346.5063,146.8596,8366.76,19.7,take_profit
NVDA,2023-10-11,2023-10-13,488.7112,459.1588,90.4914,-2760.01,-6.23,stop_loss
TSLA,2023-10-11,2023-10-13,306.2973,287.7755,143.3589,-2740.43,-6.23,stop_loss
MRVL,2023-10-16,2023-10-18,35.3657,33.2272,1121.8075,-2476.01,-6.23,stop_loss
ARM,2023-10-10,2023-10-25,355.9643,334.4391,122.5888,-2723.38,-6.23,stop_loss
MSFT,2023-09-25,2023-10-26,830.4399,780.2232,50.6166,-2623.32,-6.23,stop_loss
COIN,2023-10-26,2023-10-27,79.1647,74.3776,497.8651,-2459.77,-6.23,stop_loss
AVGO,2023-10-04,2023-10-31,266.0526,319.1034,163.8931,8598.77,19.7,take_profit
SMCI,2023-10-31,2023-11-02,5066.1524,4759.8022,8.3438,-2638.11,-6.23,stop_loss
AVGO,2023-10-31,2023-11-08,322.6857,303.1729,130.9971,-2638.11,-6.23,stop_loss
XLK,2023-10-13,2023-11-15,331.2168,314.4011,129.722,-2265.11,-5.27,signal_exit
AMZN,2023-10-19,2023-11-23,84.1338,100.9101,442.1528,7335.87,19.7,take_profit
MRVL,2023-10-25,2023-11-28,36.136,35.9922,1132.2927,-244.49,-0.6,signal_exit
AVGO,2023-11-16,2023-12-05,342.3607,321.6582,118.8899,-2540.27,-6.23,stop_loss
PLTR,2023-11-23,2023-12-05,3.9374,3.6993,10720.0693,-2634.24,-6.23,stop_loss
ARKK,2023-11-02,2023-12-06,71.4587,85.7076,591.8311,8339.91,19.7,take_profit
META,2023-11-08,2023-12-07,1021.5391,959.7667,40.7111,-2595.48,-6.23,stop_loss
ARM,2023-11-28,2023-12-07,386.1283,463.1223,111.3409,8478.03,19.7,take_profit
TSLA,2023-12-15,2023-12-18,412.2461,387.3176,107.7456,-2772.09,-6.23,stop_loss
ARKK,2023-12-06,2023-12-19,85.8112,80.6222,506.8247,-2714.27,-6.23,stop_loss
TSLA,2023-12-19,2023-12-25,416.4715,391.2874,102.7485,-2670.62,-6.23,stop_loss
XLY,2023-12-06,2023-12-28,283.2138,276.9444,146.1211,-997.94,-2.41,signal_exit
ARM,2023-12-14,2023-12-29,545.1627,653.8681,82.1242,8828.88,19.7,take_profit
ARM,2023-12-29,2024-01-10,666.501,626.1977,67.5902,-2811.48,-6.23,stop_loss
MSTR,2024-01-10,2024-01-12,297.3313,279.3516,149.8465,-2780.6,-6.23,stop_loss
QQQ,2023-12-20,2024-01-24,416.0952,499.0645,98.3043,8066.28,19.7,take_profit
AMD,2023-12-28,2024-01-29,116.98,109.9062,345.2434,-2520.51,-6.23,stop_loss
TSLA,2024-01-24,2024-01-30,401.8643,481.9961,112.7153,8932.45,19.7,take_profit
SOXX,2023-12-06,2024-02-01,912.5873,1094.5573,47.657,8576.49,19.7,take_profit
GOOGL,2023-12-25,2024-02-12,185.0078,221.8984,216.8767,7912.45,19.7,take_profit
AMZN,2024-02-05,2024-02-12,101.2811,95.1566,480.3977,-3036.55,-6.23,stop_loss
PLTR,2024-01-31,2024-02-14,4.4504,5.3378,10929.2191,9591.62,19.7,take_profit
BIIB,2024-01-29,2024-03-05,176.784,172.0737,254.7051,-1288.59,-2.86,signal_exit
META,2024-02-14,2024-03-06,1339.3911,1352.1656,38.0048,383.2,0.75,signal_exit
AAPL,2024-02-12,2024-03-07,150.4896,141.3895,328.8448,-3088.51,-6.23,stop_loss
GOOGL,2024-02-12,2024-03-07,224.0672,222.7083,220.8611,-398.82,-0.81,signal_exit
XLK,2024-01-12,2024-03-08,363.058,435.4517,122.6011,8777.66,19.7,take_profit
COIN,2024-03-11,2024-03-12,109.1993,102.596,461.2263,-3143.29,-6.23,stop_loss
NVDA,2024-03-12,2024-03-18,752.8663,902.9879,67.232,9981.64,19.7,take_profit
MSTR,2024-03-20,2024-03-21,213.7995,200.871,249.8285,-3333.49,-6.23,stop_loss
COIN,2024-03-13,2024-03-26,110.6133,103.9246,463.6995,-3201.07,-6.23,stop_loss
ARM,2024-03-27,2024-03-28,526.3134,494.4872,101.1461,-3322.34,-6.23,stop_loss
MSFT,2024-03-06,2024-04-03,933.4592,960.8339,54.9072,1399.06,2.73,signal_exit
MRVL,2024-03-05,2024-04-08,47.2482,56.6695,1102.0574,10268.29,19.7,take_profit
TSLA,2024-04-02,2024-04-09,455.3626,427.8268,114.3096,-3248.56,-6.23,stop_loss
SOXX,2024-04-02,2024-04-19,946.3507,943.7109,55.0032,-249.15,-0.48,signal_exit
PLTR,2024-04-03,2024-04-19,5.242,6.2873,9991.7561,10328.74,19.7,take_profit
PLTR,2024-04-19,2024-04-25,6.3224,5.9401,8553.8565,-3375.17,-6.23,stop_loss
BIIB,2024-04-19,2024-05-03,164.5347,155.1672,328.6909,-3184.09,-5.88,signal_exit
MSTR,2024-05-03,2024-05-06,254.6956,239.2942,199.8469,-3176.65,-6.23,stop_loss
GOOGL,2024-04-22,2024-05-13,247.4722,296.8182,219.005,10687.81,19.7,take_profit
ARKK,2024-04-26,2024-05-16,48.5688,46.5078,1101.112,-2374.08,-4.43,signal_exit
SMCI,2024-05-13,2024-05-17,10885.3584,13055.8989,5.2783,11330.4,19.7,take_profit
MRVL,2024-04-26,2024-05-20,58.768,70.4863,868.3062,10062.87,19.7,take_profit
AVGO,2024-04-10,2024-05-23,328.909,394.4935,164.4257,10664.83,19.7,take_profit
SMCI,2024-05-17,2024-05-23,14226.7376,13366.4468,4.2245,-3750.88,-6.23,stop_loss
XLK,2024-05-07,2024-05-29,459.2107,480.0561,103.9319,2068.88,4.33,signal_exit
MRVL,2024-05-20,2024-06-10,72.1859,71.3067,858.5135,-878.04,-1.42,signal_exit
MSFT,2024-05-16,2024-06-11,1089.0202,1078.9786,53.3743,-651.68,-1.12,signal_exit
BIIB,2024-05-24,2024-06-24,170.9455,175.8999,355.1124,1636.19,2.69,signal_exit
SOXX,2024-05-29,2024-07-02,963.3867,1035.985,59.7574,4218.81,7.32,signal_exit
MRNA,2024-06-25,2024-07-02,78.2931,73.5587,796.2311,-3890.57,-6.23,stop_loss
XLY,2024-05-23,2024-07-03,289.4221,347.1328,210.0471,11988.27,19.7,take_profit
AVGO,2024-06-12,2024-07-03,410.2581,492.0635,140.0939,11334.04,19.7,take_profit
ARM,2024-07-03,2024-07-05,629.2269,591.1775,104.9956,-4123.15,-6.23,stop_loss
AAPL,2024-06-10,2024-07-10,129.5868,136.8685,471.4634,3307.46,5.41,signal_exit
PLTR,2024-07-09,2024-07-15,6.8664,6.4511,8922.6675,-3823.59,-6.23,stop_loss
ARKK,2024-07-08,2024-07-17,55.318,51.9729,1178.2018,-4067.59,-6.23,stop_loss
AMD,2024-07-18,2024-07-25,103.3153,123.9164,591.5117,12051.37,19.7,take_profit
QQQ,2024-07-08,2024-08-06,476.914,471.1701,136.6614,-914.54,-1.4,signal_exit
GOOGL,2024-07-15,2024-08-08,354.397,364.511,163.9813,1540.61,2.65,signal_exit
AMZN,2024-08-08,2024-08-12,87.8223,82.5117,679.2531,-3722.95,-6.23,stop_loss
AAPL,2024-07-25,2024-08-14,155.4197,152.7964,444.8751,-1304.14,-1.88,signal_exit
AVGO,2024-07-12,2024-08-16,508.3937,609.7674,125.3586,12567.89,19.7,take_profit
XLY,2024-07-03,2024-08-23,349.3968,419.0665,189.086,13028.26,19.7,take_profit
ARM,2024-08-23,2024-08-26,804.4403,755.7958,87.9332,-4414.66,-6.23,stop_loss
META,2024-08-06,2024-08-28,1446.5735,1418.7508,47.1952,-1448.33,-2.12,signal_exit
ARKK,2024-08-12,2024-08-29,66.1897,62.1872,845.0604,-3490.83,-6.23,stop_loss
MSTR,2024-08-26,2024-08-29,434.0387,520.586,162.3637,13897.15,19.7,take_profit
AVGO,2024-08-16,2024-09-05,616.9987,740.0282,113.9129,13860.07,19.7,take_profit
PLTR,2024-09-05,2024-09-06,7.5073,7.0533,9945.2827,-4659.64,-6.23,stop_loss
AMZN,2024-09-06,2024-09-13,88.9837,83.6029,828.7135,-4602.2,-6.23,stop_loss
AAPL,2024-08-30,2024-09-17,176.0337,168.6936,417.4001,-3207.63,-4.36,signal_exit
ARM,2024-08-29,2024-09-19,828.9857,994.2854,87.2209,14258.57,19.7,take_profit
SOXX,2024-08-30,2024-09-19,988.6202,992.7443,66.3576,142.19,0.22,signal_exit
MRVL,2024-09-13,2024-10-01,67.6828,63.59,1076.2097,-4545.96,-6.23,stop_loss
GOOGL,2024-09-17,2024-10-01,489.1763,475.4626,147.8178,-2169.73,-3.0,signal_exit
AVGO,2024-10-01,2024-10-16,831.2451,780.9797,92.2213,-4784.22,-6.23,stop_loss
NVDA,2024-09-24,2024-10-17,2908.7461,2980.559,25.8964,1707.18,2.26,signal_exit
ARM,2024-09-19,2024-10-21,1014.6999,1217.0311,73.4319,14693.68,19.7,take_profit
BIIB,2024-10-16,2024-10-24,189.0399,177.6086,380.2322,-4485.94,-6.23,stop_loss
XLK,2024-08-16,2024-10-28,516.4678,619.4515,136.0861,13860.07,19.7,take_profit
QQQ,2024-10-01,2024-10-31,479.4441,473.766,133.9859,-888.5,-1.38,signal_exit
AMZN,2024-10-24,2024-10-31,95.0345,89.2877,814.9297,-4833.39,-6.23,stop_loss
COIN,2024-10-23,2024-11-01,16.0787,15.1065,4806.9915,-4823.65,-6.23,stop_loss
SMCI,2024-10-31,2024-11-07,108494.8602,130128.7353,0.6927,14820.57,19.7,take_profit
META,2024-11-01,2024-11-19,1250.7293,1500.1247,59.9963,14797.76,19.7,take_profit
AMD,2024-11-07,2024-11-19,96.387,115.6066,825.2817,15686.61,19.7,take_profit
AAPL,2024-10-28,2024-11-25,173.0247,176.9009,459.9364,1621.87,2.04,signal_exit
AMD,2024-11-19,2024-11-25,118.51,111.3437,732.8765,-5420.47,-6.23,stop_loss
XLY,2024-10-21,2024-12-02,518.4548,546.6206,149.191,4043.19,5.22,signal_exit
SOXX,2024-11-04,2024-12-03,1062.917,1274.8626,60.5225,12686.0,19.7,take_profit
META,2024-12-03,2024-12-10,1582.7902,1898.3986,49.7065,15514.76,19.7,take_profit
AMZN,2024-11-19,2024-12-13,100.4747,107.6647,864.4288,6035.38,6.94,signal_exit
AVGO,2024-12-02,2024-12-23,689.6978,708.4705,127.887,2221.97,2.52,signal_exit
TSLA,2024-12-13,2024-12-27,677.8037,636.8169,137.2512,-5805.92,-6.23,stop_loss
AMD,2024-12-23,2024-12-31,127.7465,120.0216,707.8325,-5643.26,-6.23,stop_loss
MSFT,2024-11-27,2024-12-31,1210.3062,1353.4144,72.6672,10212.98,11.6,end_of_backtest
QQQ,2024-11-27,2024-12-31,543.6962,591.5708,161.7624,7560.66,8.59,end_of_backtest
BIIB,2024-12-10,2024-12-31,188.243,212.0733,499.5006,11703.3,12.43,end_of_backtest
ARKK,2024-12-30,2024-12-31,58.2418,59.3565,1497.7084,1493.37,1.71,end_of_backtest
ARM,2024-12-31,2024-12-31,1122.7573,1121.6351,75.5154,-254.23,-0.3,end_of_backtest
